Gene,TBI Acute vs AControl Log2 fold change,TBI Subacute vs SControl Log2 fold change,TBI Chronic vs CControl Log2 fold change,TBI  Acute Avg,TBI  Subacute Avg,TBI Chronic Avg,Acute pval,Subacute pval,Chronic pval
Heg1,-0.26,0.4,0.043,821.4,991.6,1055.9,0.28373850500456077,0.32821637747324317,0.8234594485193931
B2m,-0.015,-0.611,0.08,1161.2,1325.1,1311.5,0.4270303989856735,0.30751590763851677,0.36761928048082393
Ptprg,-0.211,0.222,0.127,918.7,963.2,1115.2,0.26651834551252335,0.5203626061710275,0.4738919276285296
Slco1c1,-0.458,-0.136,0.332,1474.6,1401.0,1773.6,0.10915575062002009,0.6944978741733824,0.10498951742520386
Tfrc,-1.118,-0.114,0.328,887.8,978.2,1272.3,0.008496743071179353,0.7156555763752701,0.13127065692714174
Tsc22d1,-0.725,-0.239,0.199,654.8,845.0,989.2,0.03480396754136914,0.33646571741339576,0.3125274556491247
Clic4,0.222,-0.145,0.138,970.6,631.7,993.5,0.7339854582062251,0.7817041497238881,0.25548168299656426
Ece1,-0.07,0.281,0.013,453.0,637.2,706.7,0.4246926763695259,0.41847143070235415,0.9541777156488742
Cd93,1.025,0.734,0.214,2065.2,1525.3,1266.3,0.42543309147198094,0.1738065541847793,0.18064013331446138
Itga6,0.568,0.254,0.3,710.9,446.8,672.6,0.8147403651545551,0.6592374909843796,0.050574426371494244
Gpcpd1,-0.856,-0.199,0.469,750.8,750.1,1118.6,0.018970037777007415,0.5698815873981087,0.1118581237425201
Qk,-0.083,-0.051,0.246,665.3,521.6,725.2,0.3486157293800985,0.8609733455679838,0.14000243330284493
Serinc3,-0.1,0.081,0.151,1313.9,1083.4,1301.9,0.3538132141887866,0.7835434250064286,0.4353523304198578
Pecam1,0.194,0.002,0.184,1020.2,706.2,958.9,0.6962701872202814,0.9952427408489365,0.10708939675245113
Ddx5,-0.123,-0.094,0.287,657.2,548.4,809.1,0.30931918147453324,0.5837351233396353,0.0725469822133836
Ctnnb1,-0.03,-0.054,0.069,687.6,614.4,849.7,0.44284494654153816,0.8919851225197168,0.7051885218587053
Glul,-0.742,-0.199,0.108,402.6,495.0,803.6,0.04545142354387469,0.4587861245587598,0.3949142155765795
Itih5,-0.369,0.657,0.116,295.5,646.0,1059.5,0.18123220946522334,0.15784292312823608,0.623822655831684
Ablim1,-0.783,0.143,0.268,620.5,827.3,1146.9,0.030855715022535396,0.6742830378913116,0.03691261600073328
Klf6,-0.149,-0.006,0.03,1313.8,1031.5,1273.0,0.31788400058354277,0.9744693269510365,0.9070134929237763
Arhgap29,0.08,-0.016,0.416,1203.2,839.5,1016.9,0.5716535911116581,0.9633528711173287,0.04786238824160793
Sepp1,-0.702,0.082,0.181,1493.1,1959.8,1848.3,0.038169726592889024,0.7496226039834135,0.14601667384546183
Cdh5,0.294,0.348,0.107,1188.1,981.6,1156.1,0.835105991981246,0.3357366735026076,0.43427735657554173
Syne1,-0.498,0.435,0.107,204.5,228.0,461.5,0.11734366529221653,0.3155195030909801,0.654608270722231
Calm1,0.238,-0.272,0.101,1441.9,1128.4,1291.1,0.7574538787033188,0.11673399104622939,0.015539207062456801
Timp3,-0.353,0.03,0.086,521.6,420.1,875.9,0.19734590409466668,0.9546327690337173,0.6783069295361606
Rasgrp3,-0.288,0.088,0.329,619.7,612.6,724.0,0.17911187270395956,0.6984118226928002,0.10030626839698938
Dlc1,-0.012,0.015,0.003,340.3,373.8,462.2,0.49233676720261443,0.9605824182237022,0.9883090224790578
Ltbp4,-1.137,-0.288,0.293,226.1,370.1,570.3,0.015531261405137376,0.4741812450139337,0.16100932140040103
Spna2,-0.248,0.228,0.191,909.0,971.1,1099.5,0.28258142789348417,0.6042816721810895,0.2853479766932182
App,-0.382,0.201,0.17,752.5,906.8,1070.7,0.14317809044148322,0.44985548587251556,0.18993597282796362
Zbtb20,-0.211,0.538,0.044,341.8,429.2,475.1,0.24804505635053803,0.10702524271619071,0.8731652359489264
Pltp,-1.135,-0.334,0.154,586.4,1101.8,1530.1,0.01978462687678483,0.192284650464063,0.24472199301696065
Slc7a1,-0.521,0.457,0.0,353.8,565.8,488.8,0.1549232713044818,0.31388762103348256,0.9981272436712848
Rhob,-0.548,-0.174,-0.026,340.5,484.2,650.1,0.10442860072720582,0.6663712561031225,0.8740570559927244
Bmpr2,-0.173,0.473,0.228,524.8,517.6,640.4,0.28274762931060127,0.29995509607828563,0.365838286482157
Eif4g2,0.267,0.134,0.2,1341.0,966.5,1101.9,0.7974759957547201,0.5041861436536864,0.12268828405454871
Arhgef12,-0.076,0.454,0.165,467.7,462.4,543.3,0.37454109609439534,0.301049861902526,0.44363535013433103
Clk1,-0.395,-0.071,0.311,653.6,474.1,812.3,0.12935667429373615,0.854452773831228,0.14855534730824624
Itm2a,-1.038,-0.342,0.119,1071.1,1710.1,2319.6,0.010940463138033221,0.3270301589584919,0.3398633495062174
mt-Nd1,0.254,-0.636,-0.233,2222.6,1451.2,1529.5,0.7858570088231092,0.1552168125514489,0.17975600424580046
Mcl1,-0.23,-0.103,0.008,732.2,594.6,959.0,0.23092307249934996,0.747852140464859,0.9580077726164308
Nfat5,-0.229,0.586,0.236,427.0,416.6,505.3,0.24399011322982886,0.17211210881616015,0.43322447324510915
Kdr,0.006,0.186,0.215,878.1,857.4,688.6,0.48489054763557554,0.6778849815676278,0.2033660472750979
A130022J15Rik,-0.475,-0.085,0.184,520.3,508.3,550.3,0.10325987701725148,0.7389563333483543,0.26354499198222925
Esyt2,-0.81,-0.069,0.346,422.7,502.2,858.6,0.025310840497843882,0.8577646769715013,0.029734282368931997
Lef1,-0.598,0.259,0.098,132.1,198.2,265.9,0.07132516576197219,0.25354189557176937,0.5801527030114281
Ly6c1,-0.425,-0.626,0.048,535.5,450.9,623.0,0.11502082850016013,0.005201633891006071,0.657599958005999
Mtap4,-0.162,0.042,0.067,564.4,573.3,755.9,0.3193558171129817,0.8744190927441421,0.7047511276610239
Arhgap31,-0.192,0.395,0.179,347.4,409.9,526.2,0.30580028585424374,0.2676768098985118,0.3486201297436274
Eng,-0.562,-0.21,0.077,519.0,586.2,636.6,0.0855098513737142,0.35289464816018784,0.6189103825545799
Msn,1.205,0.192,0.147,1948.5,846.4,849.8,0.3490804812687445,0.6450968533194701,0.14851200796646824
Hsp90ab1,0.153,0.001,0.152,1565.6,1034.8,1274.8,0.6534855214658206,0.9981263328096174,0.42788266111986234
mt-Nd5,0.175,-0.236,0.067,1490.3,1109.3,1214.6,0.6862276757816603,0.3614426450884894,0.627982503842019
Slc22a8,-0.649,-0.034,0.105,401.0,675.3,551.0,0.07623079204666385,0.8593892771504624,0.5054822171828924
Rac1,0.065,-0.096,0.122,699.1,606.7,726.3,0.5312631704993004,0.7537655913698029,0.4888471528248477
Akap12,0.237,0.419,0.285,1339.6,785.3,1408.8,0.8167545696402831,0.6849737351149131,0.35459110754282985
Plk2,-0.052,0.065,0.367,1008.7,796.9,1013.2,0.3886689281851659,0.7088646828089005,0.05267846690658661
Ccdc141,-0.099,0.578,0.512,804.9,667.1,642.6,0.3473866716456944,0.21396316057638587,0.026279151387443866
Hmcn1,-0.612,0.201,0.276,322.6,360.5,524.2,0.06485122818897279,0.7467934807668389,0.0906413709888345
Tcf4,0.283,0.374,0.274,473.5,367.2,373.2,0.8277646067570121,0.23059905192954483,0.25061566111672184
Tmsb4x,0.071,-0.289,-0.008,1649.4,1589.6,1223.1,0.5550224083449173,0.06191570843585513,0.9573590408428652
Klf4,-0.66,-0.092,-0.139,312.6,543.5,853.8,0.1427181547294477,0.8527389706131573,0.679433655889156
Ywhaz,0.263,0.051,0.11,914.3,750.7,871.6,0.7954024650586531,0.855377518367889,0.26443999052114187
Apold1,-0.028,0.117,-0.043,932.1,899.3,1373.6,0.5231522441022352,0.734876803872156,0.8229839740638591
Ywhae,0.077,-0.399,0.018,671.6,517.1,575.9,0.5412420126832586,0.054804870797670144,0.8227291709261755
Ivns1abp,-0.272,-0.41,0.468,208.4,134.1,226.7,0.21322630396426218,0.415441628861561,0.017904848876715018
Wnk1,0.115,0.624,0.116,415.1,443.1,469.4,0.6266596543341345,0.16699881046708942,0.6781681349113808
Ets1,0.222,0.308,0.082,378.4,353.1,374.3,0.7408300456054523,0.5265919598436293,0.7058101657684135
Aplp2,-0.328,-0.097,0.196,535.0,497.6,732.2,0.1591020728458305,0.7875966197014403,0.14261488819309526
Gnb1,0.091,-0.112,0.13,319.2,261.7,359.7,0.5580499105250976,0.7468811881862603,0.3330843824784805
Insr,0.211,0.342,0.177,440.3,338.5,310.0,0.7220570698682645,0.5298363153707736,0.5229259524477872
Mkl2,-0.216,0.728,0.14,280.9,431.2,442.7,0.27390227968103603,0.07483321271032407,0.47491832278571267
Srsf5,-0.294,0.049,0.254,210.6,192.6,300.1,0.1859391127391593,0.8590112580374344,0.10054790484044797
Ly6a,0.095,-0.176,0.177,1253.3,1104.4,1087.7,0.5762354937370298,0.01831087526410896,0.3664348188454275
Abcc4,-0.239,0.424,0.284,284.8,325.5,365.6,0.2983759740854014,0.4546883408331439,0.1754258455595602
Adamts1,0.466,0.518,-0.019,1156.1,976.9,1148.1,0.9390746967325083,0.09798929855334035,0.9488562781768713
Col4a3bp,-0.528,0.242,0.34,214.0,219.7,398.3,0.07963419527328748,0.4505533730558278,0.028829315445838236
Fry,-0.441,0.461,0.089,423.6,607.1,588.6,0.16325861158706947,0.19048780047104283,0.726415493678366
Efr3b,-0.913,-0.108,0.267,157.8,235.2,367.3,0.03451081157340016,0.7514970219917081,0.16153791559739264
Sema7a,0.002,-0.226,0.094,508.0,355.8,507.7,0.451620401984743,0.5767232446160127,0.371797102136036
Hspg2,0.439,0.441,0.328,503.8,382.6,289.0,0.9692552408643802,0.0943656082390235,0.13855277777738945
Gnai2,0.098,-0.265,0.165,588.9,469.8,533.0,0.5648844458603567,0.41215538970453613,0.16027370426856824
Igf1r,-0.77,0.418,0.02,181.4,259.7,295.7,0.047271143526168284,0.26888671971198214,0.9441466138825205
Usp33,-0.109,0.087,0.142,63.9,49.9,63.2,0.3312051493668197,0.7650012318327061,0.4200323294591198
Atp10a,-0.773,0.349,0.257,198.8,250.6,346.3,0.036389319338601026,0.4925408508339086,0.18287922941320287
Kitl,-0.097,-0.25,0.379,616.7,403.8,573.0,0.35067895487464074,0.553709882611353,0.09703816960421711
Sgk1,-0.407,-0.31,-0.162,373.7,441.1,556.9,0.15608528872822378,0.5572920287421098,0.5791137962250383
Son,0.025,0.387,0.09,265.7,271.2,305.9,0.5044698766219533,0.27203696072142547,0.48275125401796026
Erg,-0.241,0.188,0.006,222.6,241.6,275.7,0.22296659567076763,0.4261879817552325,0.9795689596378623
Dock9,-0.207,0.368,0.14,388.5,331.4,380.2,0.25245151401667315,0.5500693571569941,0.4744863163025116
mt-Nd4,0.001,-0.179,-0.191,945.6,807.8,804.1,0.4527225513801424,0.32303473913226705,0.16934553234384062
Tek,-0.379,0.06,0.263,646.2,647.8,905.2,0.14121036604410014,0.8350324188989426,0.18939750644289588
Prom1,-1.162,-0.385,0.19,592.9,817.7,1228.1,0.0056878532694851075,0.29269397825542076,0.17230509931341134
Prrc2c,0.089,0.64,0.301,395.3,412.7,432.7,0.5652617633535102,0.05834432496333851,0.26703099720531936
Srrm2,-0.194,0.557,0.083,265.6,370.1,346.6,0.31178686522976273,0.057335306159873395,0.7183845357876033
Lrp8,0.022,0.537,0.154,212.0,267.5,198.3,0.5147012452082985,0.33458994845629986,0.5793968720868758
Bhlhe40,0.232,0.054,-0.033,870.8,730.7,1037.3,0.7801718970902323,0.802666735414033,0.8904370450942076
Ccnl1,-0.25,0.044,0.422,393.4,361.8,542.3,0.2357856009362071,0.6678945562189471,0.06192865343540607
Clic5,-0.461,-0.254,0.137,232.5,209.1,351.6,0.09139801571141294,0.5435322630380524,0.3725004122540335
Sema3c,-1.084,-0.347,0.159,272.4,328.2,685.6,0.01354330147636622,0.44175999855971343,0.2971022455917294
Slc16a2,-0.733,0.029,0.273,173.3,267.1,367.9,0.04713619891419932,0.9105749281505432,0.20545088663223682
Klf2,-0.731,0.067,0.031,196.7,366.2,460.4,0.10730835747667841,0.8306430851747182,0.9185638908118855
Rbm39,-0.152,0.001,0.345,412.1,304.0,457.4,0.28735257942194276,0.9951727820689106,0.0808215600727105
Tmbim6,-0.347,-0.274,0.132,249.9,280.0,366.0,0.1613480876186607,0.24279604298065308,0.3388799626318559
Flnb,0.351,0.166,0.124,703.6,514.2,532.6,0.9135564107795343,0.6614610252557009,0.4686562860396961
Parvb,-0.763,-0.074,0.195,186.4,304.0,316.9,0.040862404693309026,0.6159962537573144,0.27384618418549156
Gsk3b,0.073,0.474,0.107,193.0,210.5,209.2,0.5475665329108885,0.2385250741105258,0.6798239622404536
Ddx17,0.031,0.304,0.105,284.8,263.8,275.1,0.48954742290573117,0.44138739313447184,0.21262913413933557
Plat,0.934,0.192,0.384,714.5,424.2,654.9,0.5731846647212133,0.48988973540429437,0.1805791168740658
Cyr61,-0.924,-0.249,-0.162,553.0,959.7,1127.2,0.025838135816080684,0.6542686681600078,0.5986254595004168
Mtus1,-0.326,0.235,0.297,303.6,308.3,444.4,0.15103476822836195,0.41905949053580754,0.10898456283841237
2610019F03Rik,-0.565,-0.202,0.165,275.1,300.8,349.3,0.0718714731487899,0.10363310041856151,0.29307471196052914
Slc9a3r2,-0.562,-0.402,0.078,378.0,396.7,543.7,0.07536212290005333,0.050786316735797234,0.7437877826091379
Cd34,0.194,-0.113,0.279,459.7,357.1,397.1,0.6976092392565589,0.7439601482342162,0.1028748702245116
Myh9,0.405,0.42,0.136,466.1,411.2,383.2,0.9865371061838036,0.19970206059554105,0.5718007968214204
Jmjd1c,0.303,0.352,0.361,708.3,439.1,610.7,0.8537708354941708,0.2503878033288408,0.2038834057658259
Sorbs2,-0.763,-0.048,0.403,227.0,246.2,380.7,0.03060978572283443,0.8906630627862232,0.056132089786349905
Slc30a1,-0.264,0.384,0.13,460.7,400.7,682.3,0.28303977910575856,0.5432855620180668,0.6750131898265816
Fam65a,-0.195,0.005,0.054,255.2,232.3,268.0,0.26101360117490363,0.9559838288472028,0.537265005065655
Cyyr1,-0.216,0.188,0.175,231.7,251.2,400.2,0.23820675223395793,0.5118587278614805,0.24510460572936632
Slc38a2,-0.052,0.4,0.056,737.1,513.2,754.9,0.4157521805939801,0.3176540623273527,0.9014507370114554
Nr4a1,-0.669,-0.166,-0.07,244.8,369.7,659.7,0.11923241527011781,0.323031831521355,0.7276534587964569
Eif4a2,-0.17,-0.223,0.265,506.9,381.4,558.5,0.28038346563327243,0.051190239638418324,0.06593737999671391
Foxp1,-0.32,0.341,0.197,186.4,203.2,249.6,0.17601033453033113,0.15809891509418653,0.3099999789002723
Fzd6,-0.546,0.059,0.252,195.9,226.8,245.0,0.07768474353543141,0.8846838456110406,0.1504609692271854
Ptprm,-0.168,0.341,0.165,364.9,392.9,470.5,0.3062472372244257,0.4703827860633076,0.3326976521647841
Cd2ap,-0.515,0.125,0.199,297.6,325.0,446.0,0.0769798372420017,0.6034942660813576,0.20246529445722827
Nedd4,0.026,0.387,0.201,651.9,651.9,575.3,0.4836733515113671,0.10027014542563834,0.32962212844706057
Jam2,-0.205,0.033,0.332,455.5,405.6,588.2,0.25472210050777744,0.9132729945609002,0.05045663240101586
Neat1,-0.483,0.17,-0.046,119.3,115.8,224.2,0.11327243259110042,0.3019680850190805,0.927820612015317
Ddx3x,0.034,0.186,0.208,568.3,528.7,652.6,0.483210023686206,0.036970105445745985,0.3542068845121467
Mll5,-0.01,0.418,0.177,289.1,264.4,317.4,0.43843063160123513,0.2653178650422975,0.49721818965262626
Hnrnph1,-0.025,-0.049,0.335,269.8,177.8,302.7,0.4254244989440725,0.7984539596006962,0.03813306308420289
Rgs5,0.696,-0.095,-0.263,3842.5,3900.9,3872.5,0.8232711546800715,0.6072121167698873,0.3564841829784373
Zmiz1,0.101,0.446,-0.127,149.1,175.2,140.4,0.6193794093886227,0.31097079128846433,0.7264908966843654
Cgnl1,0.229,0.687,0.159,294.2,365.8,358.9,0.7663318063774556,0.09766057957724619,0.5550787519263658
Iqgap1,0.229,0.336,0.149,426.9,371.4,413.8,0.746699512960386,0.38785198445151375,0.2703305361387375
Sik1,-0.209,0.224,0.015,223.5,256.6,395.8,0.39538281003342685,0.5098499484591382,0.9324389474312875
Ldlrad3,-0.307,0.117,0.251,187.4,191.8,255.5,0.1814681946070718,0.7645899255351041,0.2842956766215184
Wasf2,-0.311,0.328,0.09,140.2,170.2,199.4,0.23391096920635376,0.2395619322477986,0.7281388224002079
Hip1,-0.561,0.253,0.207,185.8,242.4,299.9,0.1109280509593305,0.5755193987834872,0.29630681619774435
Cd97,-0.566,-0.121,0.06,364.1,399.2,554.5,0.08282769157706522,0.5402338251711724,0.6641208607115521
Ifitm3,0.652,0.064,-0.028,565.3,506.9,403.5,0.7252006982751376,0.689795906253895,0.7912340606651153
Pkp4,-0.338,0.324,0.072,217.8,242.2,279.5,0.1629057073804388,0.2360123535751463,0.6711127671967421
Cobll1,-0.433,0.28,0.235,246.3,330.3,407.1,0.14835328506517403,0.3099590680165609,0.2940368458799519
Tob1,-0.511,-0.122,-0.071,207.2,238.3,475.8,0.12950985687622635,0.6433650600105777,0.8129460632480207
Mcc,-0.829,-0.137,0.02,92.6,122.5,235.6,0.05963809843804091,0.7638224724071137,0.9145254425487279
Dst,0.211,0.814,0.218,256.0,271.5,265.3,0.7255603708724621,0.03165559216014724,0.37665780605492266
Thbd,-0.047,0.207,-0.082,305.0,341.7,587.8,0.48569136619313263,0.557653161949939,0.6584933101402405
Max,-0.321,-0.138,0.047,139.9,140.3,159.8,0.16111135062018303,0.2451410734668373,0.6371686800205126
Agrn,-0.468,0.402,0.2,296.1,389.9,320.2,0.1503656445619983,0.2573630121560041,0.3532721028146428
Huwe1,0.048,0.537,0.2,382.4,382.0,418.6,0.5267910629548231,0.25223166774340855,0.3480925442696903
Nrp1,0.193,0.06,0.158,410.0,314.7,312.0,0.6922955273953988,0.8925343054009346,0.2745983728805704
Wwtr1,0.266,0.429,0.113,406.3,350.0,304.1,0.7977891048701736,0.3182050591958,0.6302884450758057
Hsp90b1,0.429,-0.028,0.301,670.2,475.2,495.4,0.9820462256301957,0.42761550232098533,0.011217332342041506
Mll2,-0.131,0.603,0.121,99.2,133.6,121.1,0.3680176107922486,0.10746126707389081,0.7441786412413887
Lrp6,-0.189,0.392,0.268,119.9,122.2,163.0,0.2758557033527258,0.3881353371981868,0.2849428857425179
Nfib,0.063,0.337,0.27,247.7,197.3,224.4,0.5217307828199984,0.3835387266111215,0.10926574050089927
Nampt,-0.316,-0.212,0.16,671.7,685.7,619.6,0.2083794368512812,0.3170177209550014,0.13016930412642824
Pcmtd1,-0.569,-0.089,0.398,227.6,206.4,328.4,0.05927934962032167,0.7102125097516305,0.028891967631116445
Klf13,-0.218,0.413,-0.053,59.9,87.3,88.6,0.3512271275644568,0.2903761107081786,0.8448736747009209
Fgd5,-0.159,0.34,0.195,199.4,220.1,290.5,0.31777432777815745,0.31797736429771273,0.3325538760441978
Mcf2l,-0.617,0.005,0.202,113.6,115.6,146.1,0.0636624743954689,0.9894841506003897,0.4259591389746456
Prpf8,0.06,0.146,0.203,360.8,328.7,427.5,0.5444203302119619,0.6705027314627205,0.23893059057164276
Foxo1,0.029,0.492,0.113,127.8,170.2,164.9,0.523384346171087,0.27535809412985296,0.6520515425703273
Msi2,-0.27,-0.113,0.255,175.4,172.1,242.5,0.1919435894967975,0.7519356247714429,0.0010318471760636058
Rab1,0.097,0.03,0.135,306.3,277.5,309.9,0.5617560879560018,0.8631466676647981,0.1338797713051266
Sorbs3,-0.056,-0.352,0.026,264.0,226.0,250.4,0.3738963866034415,0.033538601490779155,0.868987431742422
Pde2a,-0.824,-0.055,0.296,286.5,300.6,466.3,0.026827635752089195,0.9168781125628036,0.11233269441969032
Hnrnpu,0.071,0.306,0.177,217.5,219.7,242.4,0.5403335072797679,0.030775927772425944,0.3331493408638692
Pls3,-0.106,-0.041,0.37,517.4,453.4,571.4,0.32545921609702516,0.8861498556806606,0.02542933868690955
Emcn,-0.487,-0.362,0.104,382.1,334.7,469.2,0.0885980287788554,0.1434147558211069,0.2685626233052187
Btg2,-0.774,-0.362,0.121,304.6,375.9,759.5,0.05213272915641829,0.25985912269261335,0.5647051060885653
Itgb1,0.486,0.136,0.215,888.1,555.6,531.1,0.9096425779375008,0.7105009781029021,0.1703267191564848
Kif5b,0.306,0.041,0.36,357.5,243.5,317.8,0.8588302969345507,0.8884201310565891,0.14329054833157337
Apbb2,0.404,0.406,0.073,344.2,284.4,293.8,0.9856600504077235,0.29634671587289485,0.6969716565119037
Cpd,-0.295,0.533,0.26,278.8,339.1,402.9,0.2100272403029557,0.33814361631892564,0.2856796088036894
Ctnnd1,-0.015,0.099,0.124,496.4,447.0,483.8,0.4286086614789534,0.8007958792710967,0.16916070458510152
Igfbp7,1.055,0.478,-0.099,960.1,685.6,411.7,0.41726904317311947,0.04563061477847254,0.650517074156574
Abcg2,-0.636,-0.173,0.148,284.7,301.8,455.1,0.047691545243194196,0.5231764215638404,0.20223597858752135
Mll3,-0.204,0.504,0.219,196.4,202.7,249.4,0.2452737871126774,0.2005913349637415,0.2963571069973887
Eef1a1,0.417,0.068,0.0,1029.9,777.7,626.8,0.9974517414378956,0.7405789724561238,0.9996704475934182
Myo10,-0.008,0.507,0.127,411.8,433.9,384.5,0.4744818533274996,0.34634458944531893,0.6700363870871375
Car4,-1.042,-0.632,0.095,257.1,427.5,506.9,0.014433598247482944,0.01441206246477281,0.6283696803420105
Zfp36l1,-0.303,0.018,-0.167,91.8,127.8,124.8,0.20785276699321933,0.9762058057841505,0.638284390991836
Eef2,0.096,0.559,0.164,766.0,768.5,672.9,0.5655466150826549,0.042536773191514644,0.23699354152026778
Capns1,0.215,-0.193,0.002,582.4,467.3,466.7,0.7232809354961902,0.2789895523673889,0.984987766708409
Ptn,-0.303,0.251,0.047,282.0,596.5,638.4,0.29036049343467796,0.5867158214027076,0.7484562449505129
Myst3,-0.099,0.454,0.263,131.2,144.0,176.2,0.3407129356342845,0.14921968914793074,0.3244019518864505
Sema6a,0.117,0.891,-0.113,137.0,223.3,143.8,0.6132131742879199,0.05089824824348815,0.6683204605874045
